state,visited
Alabama,1
Alaska,0
Arkansas,1
Arizona,1
California,2
Colorado,2
Connecticut,0
Delaware,0
Florida,0
Georgia,1
Hawaii,2
Iowa,0
Idaho,0
Illinois,0
Indiana,0
Kansas,1
Kentucky,0
Louisiana,1
Maine,0
Maryland,1
Massachusetts,1
Michigan,0
Minnesota,0
Missouri,0
Mississippi,1
Montana,0
North Carolina,1
North Dakota,0
Nebraska,0
New Hampshire,0
New Jersey,1
New Mexico,1
Nevada,1
New York,1
Ohio,0
Oklahoma,1
Oregon,0
Pennsylvania,1
Rhode Island,0
South Carolina,1
South Dakota,0
Tennessee,1
Texas,2
Utah,0
Virginia,1
Vermont,0
Washington,0
Wisconsin,0
West Virginia,0
Wyoming,0
